2021-04-15 21:55:57.607059; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-04-15 21:57:53.139139; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-04-15 21:58:06.693850; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-04-15 21:58:06.693935; (5,); 75.00014999664018
2021-04-15 22:00:11.517136; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-04-15 22:00:11.517227; (5,); 75.00014999664018
2021-04-15 22:02:39.659410; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-04-15 22:02:39.659499; (5,); 109.0
2021-06-30 15:52:08.622497; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-06-30 15:52:08.631353; (5,); 109.0
2021-06-30 15:57:18.973103; (2, 1, 3); [0.0]
2021-06-30 15:57:18.973196; (5,); 109.0
2021-06-30 15:57:21.292133; (2, 1, 3); [0.0]
2021-06-30 15:57:21.292247; (5,); 109.0
2021-06-30 15:57:23.872141; (2, 1, 3); [0.0]
2021-06-30 15:57:23.872407; (5,); 109.0
2021-06-30 15:57:24.283060; (2, 1, 3); [0.0]
2021-06-30 15:57:24.283327; (5,); 109.0
2021-06-30 15:57:25.235021; (2, 1, 3); [0.0]
2021-06-30 15:57:25.235284; (5,); 109.0
2021-06-30 15:57:26.148355; (2, 1, 3); [0.0]
2021-06-30 15:57:26.148624; (5,); 109.0
2021-06-30 15:57:36.585695; (2, 1, 3); [0.0]
2021-06-30 15:57:36.585761; (5,); 109.0
2021-06-30 15:57:37.203098; (2, 1, 3); [0.0]
2021-06-30 15:57:37.203369; (5,); 109.0
2021-06-30 15:57:48.923201; (2, 1, 3); [0.0]
2021-06-30 15:57:48.923263; (5,); 109.0
2021-06-30 15:57:53.279273; (2, 1, 3); [0.0]
2021-06-30 15:57:53.279548; (5,); 109.0
2021-06-30 15:57:54.154263; (2, 1, 3); [0.0]
2021-06-30 15:57:54.154529; (5,); 109.0
2021-06-30 15:57:58.074343; (2, 1, 3); [0.0]
2021-06-30 15:57:58.074614; (5,); 109.0
2021-06-30 15:58:00.860970; (2, 1, 3); [0.0]
2021-06-30 15:58:00.861252; (5,); 109.0
2021-06-30 15:58:05.732900; (2, 1, 3); [0.0]
2021-06-30 15:58:05.733190; (5,); 109.0
2021-06-30 15:58:26.787824; (2, 1, 3); [0.0]
2021-06-30 15:58:26.787901; (5,); 109.0
2021-06-30 15:58:37.534481; (2, 1, 3); [0.0]
2021-06-30 15:58:37.534563; (5,); 109.0
2021-06-30 15:59:14.502541; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-06-30 15:59:14.502633; (5,); 109.0
2021-06-30 15:59:22.792486; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-06-30 15:59:22.792807; (5,); 109.0
2021-06-30 15:59:37.240774; (2, 1, 3); [0.0]
2021-06-30 15:59:37.241046; (5,); 109.0
2021-06-30 15:59:45.620236; (2, 1, 3); [0.0]
2021-06-30 15:59:45.620324; (5,); 109.0
2021-06-30 15:59:55.160331; (2, 1, 3); [0.0]
2021-06-30 15:59:55.160404; (5,); 109.0
2021-06-30 15:59:57.774055; (2, 1, 3); [0.0]
2021-06-30 15:59:57.774393; (5,); 109.0
2021-06-30 16:00:22.374104; (2, 1, 3); [0.0]
2021-06-30 16:00:22.374234; (5,); 109.0
2021-06-30 16:00:49.352523; (2, 1, 3); [0.0]
2021-06-30 16:00:49.352627; (5,); 109.0
2021-06-30 16:00:57.125839; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-06-30 16:00:57.126078; (5,); 109.0
2021-06-30 16:00:58.376532; (2, 1, 3); [80.00080000485355, 3.0000300000665443, 6.000009999951316]
2021-06-30 16:00:58.376847; (5,); 109.0
